time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,1914.34,1913.1,1913.36,290.77,556522.58,1914.29,direct,
2023-04-21 10:52:00,1914.29,1912.9,1914.29,241.21,461534.99,1912.94,direct,
2023-04-21 10:53:00,1914.18,1912.44,1912.94,464.34,888494.6,1913.87,direct,
2023-04-21 10:54:00,1914.26,1913.09,1913.87,217.16,415529.02,1913.19,direct,
2023-04-21 10:55:00,1913.19,1912.51,1913.19,428.11,818785.55,1912.87,direct,
2023-04-21 10:56:00,1912.87,1910.53,1912.87,989.63,1891290.09,1911.54,direct,
2023-04-21 10:57:00,1911.54,1909.63,1911.54,1578.07,3014473.34,1910.65,direct,
2023-04-21 10:58:00,1912.9,1910.65,1910.65,1093.17,2090464.12,1912.55,direct,
2023-04-21 10:59:00,1913.12,1912.35,1912.55,617.94,1181990.2,1912.84,direct,
2023-04-21 11:00:00,1913.07,1912.24,1912.84,858.72,1642579.32,1913.03,direct,
2023-04-21 11:01:00,1913.43,1912.37,1913.03,662.35,1267128.56,1912.37,direct,
2023-04-21 11:02:00,1913.05,1911.52,1912.37,606.12,1158910.81,1913.01,direct,
2023-04-21 11:03:00,1913.69,1912.7,1913.01,621.54,1189033.52,1912.78,direct,
2023-04-21 11:04:00,1912.78,1910.91,1912.78,471.25,900703.95,1910.92,direct,
2023-04-21 11:05:00,1913.17,1910.92,1910.92,552.56,1056605.91,1912.93,direct,
2023-04-21 11:06:00,1913.47,1912.93,1912.93,223.96,428494.91,1913.08,direct,
2023-04-21 11:07:00,1913.09,1911.28,1913.08,332.76,636236.26,1911.29,direct,
2023-04-21 11:08:00,1911.29,1910.5,1911.29,325.52,621983.16,1910.98,direct,
2023-04-21 11:09:00,1910.98,1910.73,1910.98,297.98,569382.55,1910.9,direct,
2023-04-21 11:10:00,1910.9,1909.59,1910.9,383.13,731780.29,1909.59,direct,
2023-04-21 11:11:00,1910.36,1907.72,1909.59,947.29,1808035.09,1910.36,direct,
2023-04-21 11:12:00,1910.6,1909.16,1910.36,543.39,1037747.63,1909.16,direct,
2023-04-21 11:13:00,1909.73,1908.36,1909.16,617.77,1179263.86,1909.41,direct,
2023-04-21 11:14:00,1909.41,1908.2,1909.41,397.49,758681.51,1909.41,direct,
2023-04-21 11:15:00,1909.42,1907.89,1909.41,465.36,888141.41,1908.75,direct,
2023-04-21 11:16:00,1909.08,1908.35,1908.75,310.93,593483.74,1908.35,direct,
