time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,0.09564,0.09563,0.09564,22508.28,2153.3,0.09563,direct,
2023-04-21 10:52:00,0.09563,0.09562,0.09563,44051.93,4212.15,0.09562,direct,
2023-04-21 10:53:00,0.09576,0.09562,0.09562,19298.71,1846.45,0.09576,direct,
2023-04-21 10:54:00,0.09578,0.09571,0.09576,15305.3,1465.29,0.09578,direct,
2023-04-21 10:55:00,0.09578,0.09563,0.09578,35892.65,3433.65,0.09569,direct,
2023-04-21 10:56:00,0.09569,0.09562,0.09569,25439.38,2434.53,0.09562,direct,
2023-04-21 10:57:00,0.09568,0.09552,0.09562,230815.76,22050.52,0.09552,direct,
2023-04-21 10:58:00,0.09566,0.09552,0.09552,148884.6,14236.24,0.09566,direct,
2023-04-21 10:59:00,0.09566,0.0956,0.09566,6078.55,581.16,0.0956,direct,
2023-04-21 11:00:00,0.0956,0.09552,0.0956,42714.98,4082.7,0.09559,direct,
2023-04-21 11:01:00,0.09566,0.09559,0.09559,22550.75,2156.6,0.0956,direct,
2023-04-21 11:02:00,0.0956,0.09559,0.0956,10614.86,1014.34,0.09559,direct,
2023-04-21 11:03:00,0.09561,0.09559,0.09559,24773.1,2368.4,0.09561,direct,
2023-04-21 11:04:00,0.09561,0.09552,0.09561,26915.15,2571.95,0.09552,direct,
2023-04-21 11:05:00,0.09558,0.09551,0.09552,85363.75,8154.4,0.09558,direct,
2023-04-21 11:06:00,0.09559,0.09552,0.09558,112953.3,10793.95,0.09558,direct,
2023-04-21 11:07:00,0.09559,0.09542,0.09558,276960.6,26447.75,0.09543,direct,
2023-04-21 11:08:00,0.09549,0.09542,0.09543,164636.81,15717.1,0.09548,direct,
2023-04-21 11:09:00,0.09549,0.09542,0.09548,127973.0,12215.07,0.09542,direct,
2023-04-21 11:10:00,0.09548,0.09541,0.09542,31519.8,3007.86,0.09541,direct,
2023-04-21 11:11:00,0.09548,0.09534,0.09541,84358.7,8048.41,0.09541,direct,
2023-04-21 11:12:00,0.09547,0.0954,0.09541,34553.16,3296.8,0.09541,direct,
2023-04-21 11:13:00,0.09541,0.09533,0.09541,24863.85,2370.74,0.09533,direct,
2023-04-21 11:14:00,0.09537,0.0953,0.09533,84733.68,8075.73,0.09531,direct,
2023-04-21 11:15:00,0.09537,0.09531,0.09531,16751.05,1597.13,0.09537,direct,
2023-04-21 11:16:00,0.09537,0.09529,0.09537,23515.57,2240.51,0.09529,direct,
2023-04-21 11:17:00,0.09529,0.09522,0.09529,8465.4,806.38,0.09523,direct,
2023-04-21 11:18:00,0.09537,0.09523,0.09523,15901.96,1516.35,0.09532,direct,
2023-04-21 11:19:00,0.09538,0.09532,0.09532,18313.7,1746.24,0.09532,direct,
2023-04-21 11:20:00,0.09532,0.0952,0.09532,48228.22,4593.76,0.0952,direct,
2023-04-21 11:21:00,0.09526,0.09511,0.0952,27358.5,2604.92,0.09526,direct,
2023-04-21 11:22:00,0.09527,0.0952,0.09526,13964.66,1330.29,0.0952,direct,
2023-04-21 11:23:00,0.09522,0.0952,0.0952,5405.47,515.16,0.09522,direct,
